Index,Company Name,Website,City,Segment,What they make,Revenue Band,Decision Maker,C1 ( Manufacturer),C2 (India-based),C3 (Differentiated),C4 (Technical DM),C5 (Growing Sector),C6 (Growth Signals),Score,Verdict,Personalization Hook
1,Prasol Chemicals Ltd,https://www.prasolchem.com,Pune,Performance Chemicals,Phosgene derivatives for pharma/agro,Rs.100Ð300Cr,Sandeep K. Gupta,Strong,Strong ,Strong,Moderate ,Strong ,Strong ,85,Strong Fit,One of the few Indian companies specializing in phosgene chemistry
2,Rossari Biotech Ltd,https://www.rossari.com,Pune,Performance Chemicals,Textile specialty chemicals,Rs.300Ð500Cr,Edward Menezes,Strong ,Strong ,Moderate,Moderate,Strong ,Strong,80,Strong Fit,Expanded specialty chemical portfolio recently
3,Rathi Speciality Chemicals Ltd,https://www.rathichemicals.com,Pune,Specialty Chemicals,Polymer additives,Rs.100Ð300Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Moderate,70,Fit,Supplies additives to polymer sector
4,Chembond Chemicals Ltd,https://www.chembondindia.com,Pune,Performance Chemicals,Water treatment chemicals,Rs.100Ð300Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Strong,75,Fit,Active in industrial water sustainability
5,Privi Speciality Chemicals Ltd,https://www.privi.com,Pune,Specialty Chemicals,Aroma chemicals,Rs.300Ð500Cr,Promoter-led,Strong,Strong,Strong,Moderate,Strong,Strong,85,Strong Fit,Export-focused aroma chemicals
6,Apcotex Industries Ltd,https://www.apcotex.com,Pune,Performance Chemicals,Synthetic latex,Rs.300Ð500Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Strong,80,Strong Fit,Expanding latex production capacity
7,Resil Chemicals Pvt Ltd,https://www.resil.com,Pune,Specialty Chemicals,Silicone-based chemicals,Rs.100Ð300Cr,Technical founder,Strong,Strong,Strong,Strong,Strong,Strong,90,Strong Fit,Known for silicone chemistry innovation
8,Kumar Organic Products Ltd,https://www.kumarorganic.com,Pune,Specialty Chemicals,Cosmetic ingredients,Rs.300Ð500Cr,Promoter-led,Strong,Strong,Strong,Strong,Strong,Strong,90,Strong Fit,Develops ingredients for global personal care brands
9,Alkyl Amines Chemicals Ltd,https://www.alkylamines.com,Pune,Specialty Chemicals,Aliphatic amines,Rs.300Ð500Cr,Promoter-led,Strong,Strong,Strong,Strong,Strong,Strong,90,Strong Fit,Leading exporter of aliphatic amines
10,Amino Organics Pvt Ltd,https://www.aminoorganics.com,Pune,Specialty Chemicals,Amino intermediates,Rs.30Ð100Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Moderate,70,Fit,Focused on amino-based intermediates
11,Organometallics India Pvt Ltd,http://www.organometallicsindia.com,Pune,Specialty Chemicals,Organometallic catalysts,Rs.30Ð100Cr,Technical team,Strong,Strong,Strong,Moderate,Strong,Moderate,75,Fit,Niche catalyst chemistry specialization
12,Suyash Laboratories Ltd,https://www.suyashlabs.com,Pune,Specialty Chemicals,Pharma intermediates,Rs.100Ð300Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Moderate,70,Fit,Supplies intermediates to pharma markets
13,Flamingo Additives LLP,https://www.flamingoadditives.com,Pune,Performance Chemicals,Polymer additives,Rs.30Ð100Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Moderate,70,Fit,Focus on flame retardant additives
14,Anshul Life Sciences,https://www.anshullifesciences.com,Pune,Specialty Chemicals,Chemical intermediates,Rs.100Ð300Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Moderate,70,Fit,Exports intermediates globally
15,Camlin Fine Sciences Ltd,https://www.camlinfs.com,Pune,Specialty Chemicals,Food antioxidants,Rs.300Ð500Cr,Promoter-led,Strong,Strong,Strong,Moderate,Strong,Strong,80,Strong Fit,Global supplier of food antioxidants
16,Omkar Speciality Chemicals Ltd,https://www.omkarchemicals.com,Pune,Specialty Chemicals,Intermediates,Rs.100Ð300Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Moderate,75,Fit,Focused on specialty intermediates
17,Indo Amines Ltd,https://www.indoaminesltd.com,Pune,Specialty Chemicals,Amines derivatives,Rs.300Ð500Cr,Promoter-led,Strong,Strong,Strong,Moderate,Strong,Strong,80,Strong Fit,Wide portfolio of amine derivatives
18,Val Organics Pvt Ltd,N/A,Pune,Specialty Chemicals,Chemical intermediates,Rs.30Ð100Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Moderate,70,Fit,Focus on niche intermediates
19,NOCIL Ltd,https://www.nocil.com,Pune,Performance Chemicals,Rubber chemicals,Rs.300Ð500Cr,Promoter-led,Strong,Strong,Strong,Moderate,Strong,Strong,80,Strong Fit,Leading rubber chemical supplier
20,Bodal Chemicals Ltd,https://www.bodal.com,Pune,Specialty Chemicals,Dyes & intermediates,Rs.100Ð300Cr,Promoter-led,Strong,Strong,Moderate,Moderate,Strong,Moderate,70,Fit,Expanding specialty chemical portfolio
21,Paushak Ltd,https://www.paushak.com,Pune,Specialty Chemicals,Phosgene derivatives,Rs.100Ð300Cr,Promoter-led,Strong,Strong,Strong,Moderate,Strong,Strong,75,Fit,Phosgene chemistry expertise
